timestamp,latitude,longitude,speed_kmph
01-01-2025 08:00,22.2587,73.1953,11
01-01-2025 08:00,22.25930529,73.19483839,8
01-01-2025 08:00,22.25991057,73.19437677,9
01-01-2025 08:00,22.26051586,73.19391516,9
01-01-2025 08:00,22.26112114,73.19345355,10
01-01-2025 08:00,22.26172643,73.19299193,11
01-01-2025 08:01,22.26233171,73.19253032,10
01-01-2025 08:01,22.262937,73.19206871,8
01-01-2025 08:01,22.26354228,73.19160709,8
01-01-2025 08:01,22.26414757,73.19114548,8
01-01-2025 08:01,22.26475285,73.19068387,96
01-01-2025 08:01,22.26535814,73.19022225,92
01-01-2025 08:02,22.26596342,73.18976064,113
01-01-2025 08:02,22.26656871,73.18929903,116
01-01-2025 08:02,22.26717399,73.18883741,115
01-01-2025 08:02,22.26777928,73.1883758,111
01-01-2025 08:02,22.26838456,73.18791419,99
01-01-2025 08:02,22.26898985,73.18745257,92
01-01-2025 08:03,22.26959513,73.18699096,105
01-01-2025 08:03,22.27020042,73.18652935,98
01-01-2025 08:03,22.2708057,73.18606773,107
01-01-2025 08:03,22.27141099,73.18560612,120
01-01-2025 08:03,22.27201627,73.18514451,91
01-01-2025 08:03,22.27262156,73.18468289,93
01-01-2025 08:04,22.27322684,73.18422128,114
01-01-2025 08:04,22.27383213,73.18375967,88
01-01-2025 08:04,22.27443741,73.18329805,111
01-01-2025 08:04,22.2750427,73.18283644,81
01-01-2025 08:04,22.27564798,73.18237483,87
01-01-2025 08:04,22.27625327,73.18191321,83
01-01-2025 08:05,22.27685855,73.1814516,98
01-01-2025 08:05,22.27746384,73.18098999,80
01-01-2025 08:05,22.27806912,73.18052837,93
01-01-2025 08:05,22.27867441,73.18006676,112
01-01-2025 08:05,22.27927969,73.17960515,88
01-01-2025 08:05,22.27988498,73.17914353,107
01-01-2025 08:06,22.28049026,73.17868192,96
01-01-2025 08:06,22.28109555,73.17822031,93
01-01-2025 08:06,22.28170083,73.17775869,112
01-01-2025 08:06,22.28230612,73.17729708,96
01-01-2025 08:06,22.2829114,73.17683547,86
