timestamp,lat,lon,ax,ay,az,gx,gy,gz,event
2025-02-15 09:00:00,19.11600,72.89770,0.04,0.03,1.0,0.42,0.35,0.21,STOP
2025-02-15 09:01:00,19.11605,72.89774,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:02:00,19.11610,72.89778,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:03:00,19.11616,72.89783,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:04:00,19.11621,72.89787,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:05:00,19.11626,72.89791,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:06:00,19.11631,72.89795,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:07:00,19.11637,72.89799,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:08:00,19.11642,72.89804,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:09:00,19.11647,72.89808,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:10:00,19.11647,72.89808,0.04,0.03,1.0,0.42,0.35,0.21,STOP
2025-02-15 09:11:00,19.11652,72.89812,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:12:00,19.11658,72.89816,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:13:00,19.11663,72.89820,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:14:00,19.11668,72.89825,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:15:00,19.11673,72.89829,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:16:00,19.11679,72.89833,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:17:00,19.11684,72.89837,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:18:00,19.11689,72.89841,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:19:00,19.11694,72.89846,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:20:00,19.11694,72.89846,0.04,0.03,1.0,0.42,0.35,0.21,STOP
2025-02-15 09:21:00,19.11700,72.89850,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:22:00,19.11705,72.89854,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:23:00,19.11710,72.89858,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:24:00,19.11715,72.89862,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:25:00,19.11721,72.89867,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:26:00,19.11726,72.89871,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:27:00,19.11731,72.89875,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:28:00,19.11736,72.89879,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:29:00,19.11742,72.89883,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:30:00,19.11742,72.89883,0.04,0.03,1.0,0.42,0.35,0.21,STOP
2025-02-15 09:31:00,19.11747,72.89888,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:32:00,19.11752,72.89892,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:33:00,19.11757,72.89896,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:34:00,19.11763,72.89900,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:35:00,19.11768,72.89904,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:36:00,19.11773,72.89909,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:37:00,19.11778,72.89913,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:38:00,19.11784,72.89917,0.04,0.03,1.0,0.42,0.35,0.21,-
2025-02-15 09:39:00,19.11789,72.89921,0.04,0.03,1.0,0.42,0.35,0.21,-
